상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202301A0050361,정선육회&연어,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11230,동대문구,11230660,장안2동,1123010600,장안동,1.12301E+18,1,대지,289,13,서울특별시 동대문구 장안동 289-13,1.12304E+11,서울특별시 동대문구 답십리로65길,80,,1.12301E+24,,서울특별시 동대문구 답십리로65길 80,130838,2527,,1,,127.0698675,37.57606915
MA0101202301A0086043,알지분식,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,11,서울특별시,11215,광진구,11215770,중곡4동,1121510100,중곡동,1.12151E+18,1,대지,78,5,서울특별시 광진구 중곡동 78-5,1.12153E+11,서울특별시 광진구 영화사로,3,,1.12151E+24,,서울특별시 광진구 영화사로 3,143887,4945,,1,,127.0882848,37.55859732
MA0101202209A0087903,스시준몽,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,11,서울특별시,11230,동대문구,11230660,장안2동,1123010600,장안동,1.12301E+18,1,대지,337,20,서울특별시 동대문구 장안동 337-20,1.12304E+11,서울특별시 동대문구 답십리로72길,24,,1.12301E+24,,서울특별시 동대문구 답십리로72길 24,130840,2637,,1,,127.0739596,37.57108249
MA0101202209A0053962,유토파스타,,I2,음식,I204,서양식,I20402,파스타/스테이크,I56123,서양식 음식점업,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,39,2,서울특별시 광진구 중곡동 39-2,1.12154E+11,서울특별시 광진구 긴고랑로15길,10,,1.12151E+24,,서울특별시 광진구 긴고랑로15길 10,143885,4937,,1,,127.083269,37.562433
MA0101202209A0101473,벤틀리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11215,광진구,11215850,구의1동,1121510300,구의동,1.12151E+18,1,대지,246,8,서울특별시 광진구 구의동 246-8,1.12154E+11,서울특별시 광진구 자양로18길,26,,1.12151E+24,,서울특별시 광진구 자양로18길 26,143825,5044,,지,,127.0850888,37.53765018
MA0101202209A0077249,곱창명가,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56111,한식 일반 음식점업,11,서울특별시,11230,동대문구,11230660,장안2동,1123010600,장안동,1.12301E+18,1,대지,331,3,서울특별시 동대문구 장안동 331-3,1.12303E+11,서울특별시 동대문구 답십리로,305,,1.12301E+24,,서울특별시 동대문구 답십리로 305,130840,2524,,1,,127.0744641,37.57239297
MA0101202209A0055961,뚝섬찹쌀꽈배기,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11215,광진구,11215740,중곡1동,1121510100,중곡동,1.12151E+18,1,대지,241,8,서울특별시 광진구 중곡동 241-8,1.12154E+11,서울특별시 광진구 능동로47길,35,,1.12151E+24,,서울특별시 광진구 능동로47길 35,143903,4910,,1,,127.0807325,37.56344047
MA0101202209A0045855,땅스부대찌개광장동점,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,457,1,서울특별시 광진구 광장동 457-1,1.12154E+11,서울특별시 광진구 아차산로70길,26,,1.12151E+24,광희현대타워,서울특별시 광진구 아차산로70길 26,143814,4974,,,,127.1011955,37.54194575
MA0101202209A0002220,굽네치킨장안1동점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11230,동대문구,11230650,장안1동,1123010600,장안동,1.12301E+18,1,대지,428,14,서울특별시 동대문구 장안동 428-14,1.12304E+11,서울특별시 동대문구 장한로9길,16,,1.12301E+24,,서울특별시 동대문구 장한로9길 16,130844,2629,,1,,127.0664403,37.56584225
MA0101202209A0094245,동근이숯불두마리치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,127,1,서울특별시 광진구 중곡동 127-1,1.12154E+11,서울특별시 광진구 용마산로7길,29,,1.12151E+24,,서울특별시 광진구 용마산로7길 29,143890,4923,,1,,127.0859778,37.5593634
